i: -99; Actual: 0.000000; Predicted: 0.000000;
i: -98; Actual: 0.000000; Predicted: 0.000000;
i: -97; Actual: 0.000000; Predicted: 0.000000;
i: -96; Actual: 0.000000; Predicted: 0.000000;
i: -95; Actual: 0.000000; Predicted: 0.000000;
i: -94; Actual: 0.000000; Predicted: 0.000000;
i: -93; Actual: 0.000000; Predicted: 0.000000;
i: -92; Actual: 0.000000; Predicted: 0.000000;
i: -91; Actual: 0.000000; Predicted: 0.000000;
i: -90; Actual: 0.000000; Predicted: 0.000000;
i: -89; Actual: 0.000000; Predicted: 0.000000;
i: -88; Actual: 0.000000; Predicted: 0.000000;
i: -87; Actual: 0.000000; Predicted: 0.000000;
i: -86; Actual: 0.000000; Predicted: 0.000000;
i: -85; Actual: 0.000000; Predicted: 0.000000;
i: -84; Actual: 0.000000; Predicted: 0.000000;
i: -83; Actual: 0.000000; Predicted: 0.000000;
i: -82; Actual: 0.000000; Predicted: 0.000000;
i: -81; Actual: 0.000000; Predicted: 0.000000;
i: -80; Actual: 0.000000; Predicted: 0.000000;
i: -79; Actual: 0.000000; Predicted: 0.000000;
i: -78; Actual: 0.000000; Predicted: 0.000000;
i: -77; Actual: 0.000000; Predicted: 0.000000;
i: -76; Actual: 0.000000; Predicted: 0.000000;
i: -75; Actual: 0.000000; Predicted: 0.000000;
i: -74; Actual: 0.000000; Predicted: 0.000000;
i: -73; Actual: 0.000000; Predicted: 0.000000;
i: -72; Actual: 0.000000; Predicted: 0.000000;
i: -71; Actual: 0.000000; Predicted: 0.000000;
i: -70; Actual: 0.000000; Predicted: 0.000000;
i: -69; Actual: 0.000000; Predicted: 0.000000;
i: -68; Actual: 0.000000; Predicted: 0.000000;
i: -67; Actual: 0.000000; Predicted: 0.000000;
i: -66; Actual: 0.000000; Predicted: 0.000000;
i: -65; Actual: 0.000000; Predicted: 0.000000;
i: -64; Actual: 0.000000; Predicted: 0.000000;
i: -63; Actual: 0.000000; Predicted: 0.000000;
i: -62; Actual: 0.000000; Predicted: 0.000000;
i: -61; Actual: 0.000000; Predicted: 0.000000;
i: -60; Actual: 0.000000; Predicted: 0.000000;
i: -59; Actual: 0.000000; Predicted: 0.000000;
i: -58; Actual: 0.000000; Predicted: 0.000000;
i: -57; Actual: 0.000000; Predicted: 0.000000;
i: -56; Actual: 0.000000; Predicted: 0.000000;
